nh_count,zip
10,94541
9,95608
8,91103
8,92020
7,90057
7,91342
7,90650
7,90404
6,92835
6,94903
6,95340
6,92025
6,95350
6,92404
6,95945
6,91335
6,90029
5,91790
5,90503
5,95030
5,93727
5,96001
5,91950
5,95128
5,91010
5,92021
5,92804
5,91770
5,92373
5,94501
4,90018
4,95204
4,96002
4,94578
4,94952
4,90019
4,90804
4,90732
4,91776
4,93257
4,94606
4,91740
4,95661
4,92103
4,94087
4,95825
4,91767
4,94601
4,90066
4,92024
4,95476
4,95240
4,92105
4,93105
4,90247
4,94533
4,90201
4,94609
4,92503
4,92543
4,90262
4,95062
4,90706
4,90602
4,93940
4,91942
4,93003
4,94558
4,93277
4,91732
4,95380
4,95695
4,94705
3,90505
3,92504
3,90006
3,91801
3,91803
3,93654
3,94595
3,93215
3,92501
3,90805
3,92509
3,95125
3,90813
3,91706
3,92407
3,90041
3,94553
3,93726
3,95008
3,95616
3,90660
3,91786
3,90035
3,95355
3,95969
3,95209
3,93274
3,95405
3,93901
3,91105
3,91977
3,95966
3,90807
3,94544
3,94546
3,90806
3,94550
3,95014
3,92220
3,92223
3,92064
3,92653
3,91780
3,90301
3,91723
3,91040
3,94577
3,95667
3,90033
3,94040
3,95207
3,91775
3,95336
3,95822
3,91733
3,91768
3,92262
3,94115
3,95070
3,94117
3,90723
3,91352
3,93023
3,95816
3,95603
3,92843
3,91204
3,93950
3,90023
3,95991
3,94015
3,94110
3,92008
3,94538
3,92399
3,91607
2,91360
2,91205
2,91941
2,93306
2,90061
2,94116
2,90606
2,94545
2,92879
2,95948
2,92201
2,95076
2,92840
2,90502
2,92663
2,92707
2,92545
2,92706
2,95301
2,95453
2,93706
2,94403
2,94565
2,91042
2,92869
2,93401
2,94118
2,93422
2,95928
2,94112
2,91344
2,92780
2,92128
2,91910
2,92802
2,92805
2,90027
2,90026
2,93534
2,91606
2,91604
2,90638
2,94044
2,90631
2,94598
2,95210
2,91911
2,92821
2,95926
2,93309
2,93301
2,95838
2,93304
2,93625
2,94610
2,91773
2,95376
2,95370
2,92411
2,95501
2,96080
2,94611
2,95482
2,93230
2,92111
2,94806
2,91311
2,91201
2,93906
2,95242
2,95116
2,94804
2,95472
2,90640
2,92346
2,92612
2,91206
2,95037
2,93662
2,90242
2,95831
2,90405
2,92505
2,92506
2,92270
2,92324
2,94109
2,91711
2,95117
2,93010
2,95503
2,95409
2,91731
2,93030
2,94901
2,93610
2,92648
2,91766
2,93111
2,90011
2,90815
2,92127
2,91605
2,94010
2,94904
2,91764
2,92311
2,92866
2,92102
2,93635
2,92083
2,94589
2,92260
2,93033
2,91345
2,94704
2,92037
2,90043
2,95124
2,90250
2,93436
2,90048
2,92122
2,92084
2,94030
2,94301
2,95032
2,90039
2,90302
2,95448
2,93454
2,95841
2,95823
2,93721
2,94536
2,91763
2,92123
2,94509
2,90620
2,92071
2,92284
2,92627
2,90016
2,90017
2,90036
2,93710
2,90034
2,91762
2,92354
2,90717
1,91506
1,92586
1,90701
1,95490
1,91754
1,91750
1,94515
1,95360
1,93602
1,90814
1,90704
1,92582
1,94602
1,90810
1,92630
1,92376
1,90008
1,93611
1,93612
1,94599
1,95610
1,90621
1,94559
1,92026
1,94591
1,93657
1,92029
1,92028
1,93618
1,94304
1,92335
1,92139
1,92336
1,94022
1,96130
1,93514
1,94518
1,93702
1,93638
1,95953
1,90230
1,94519
1,91741
1,95403
1,92656
1,91307
1,92211
1,91321
1,90720
1,92056
1,92243
1,94954
1,94028
1,90059
1,94530
1,94122
1,93292
1,93465
1,95202
1,94107
1,90044
1,93291
1,92110
1,91306
1,96122
1,93620
1,93258
1,93555
1,95035
1,91402
1,94526
1,95422
1,95628
1,93442
1,95624
1,90680
1,90403
1,92352
1,92392
1,94025
1,95437
1,95356
1,92562
1,91030
1,93536
1,95642
1,90025
1,93305
1,95932
1,95112
1,94024
1,93458
1,94062
1,95054
1,94619
1,92626
1,95050
1,91601
1,92518
1,95540
1,96020
1,92801
1,95338
1,92251
1,92252
1,95121
1,95971
1,96028
1,92374
1,95334
1,92395
1,91020
1,95203
1,94612
1,92130
1,94521
1,95023
1,93637
1,92868
1,91701
1,90260
1,92069
1,93631
1,92675
1,91304
1,92705
1,95814
1,94590
1,95817
1,92701
1,95819
1,94947
1,90042
1,91325
1,94066
1,96158
1,94941
1,92009
1,95307
1,91406
1,90731
1,90004
1,96067
1,93960
1,92647
1,96160
1,92313
1,90255
1,91411
1,90270
1,92704
1,95020
1,91364
1,95361
1,95632
1,95630
1,94114
1,95531
1,91208
1,91362
1,93063
1,91361
1,90032
1,90031
1,93545
1,91202
1,90037
1,95367
1,95602
1,92264
1,93203
1,96003
1,93015
1,93247
1,92708
1,94563
1,93420
1,95425
1,93240
1,92315
1,93703
1,93930
1,91214
1,95382
1,90740
1,92886
1,95542
1,95987
1,91303
1,96101
1,96104
1,96094
1,92227
1,92225
1,91343
1,92359
1,95901
1,92571
1,92308
1,90293
1,94587
1,95241
1,93463
1,95404
1,96093
1,91007
1,94520
1,94523
1,91436
1,92343
1,93312
1,90015
1,90803
1,90802
1,91006
1,95824
1,95431
1,94556
1,90401
1,95648
1,94002
1,95127
1,94702
1,93644
1,95010
1,91101
1,92882
1,91107
1,93720
1,90065
1,93210
1,90605
1,95688
1,95407
1,95687
1,93725
1,91945
1,93263
1,95249
1,91722
1,92040
1,95988
1,93060
1,95670
1,90249
1,90248
1,95129
1,90241
1,90240
1,92118
1,95691
1,92624
1,92683
1,91405
