zip,latitude,longitude,county,region,num_facilities,zip_numbeds,zip_occup_rate,zippop,zip_afam,zip_asan,zip_hispan,zip_caucasn,zip_nativ,zip_othrace,zip_pctfem,zip_pctmale,zip_CMS_overall_rating,zip_nhoverall_rating,zip_qualityoffacility_rating,zip_abuse_current,zip_abuse_previous,zip_abuse_prior,zip_abuse_tot,zip_admin_current,zip_admin_previous,zip_admin_prior,zip_admin_tot,zip_all_current,zip_all_previous,zip_all_prior,zip_all_tot,zip_env_current,zip_env_previous,zip_env_prior,zip_env_tot,zip_ls_current,zip_ls_previous,zip_ls_prior,zip_ls_tot,zip_nursing_turnover,zip_aid_hprd,zip_N2009_Abuse,zip_N2009_Admin,zip_N2009_Care,zip_N2009_Environ,zip_N2009_Nutri,zip_N2009_Rights,zip_N2009_Staff,zip_N2009_Total,zip_N2010_Abuse,zip_N2010_Admin,zip_N2010_Care,zip_N2010_Environ,zip_N2010_Nutri,zip_N2010_Rights,zip_N2010_Staff,zip_N2010_Total,zip_N2011_Abuse,zip_N2011_Admin,zip_N2011_Care,zip_N2011_Environ,zip_N2011_Nutri,zip_N2011_Rights,zip_N2011_Staff,zip_N2011_Total,zip_N2012_Abuse,zip_N2012_Admin,zip_N2012_Care,zip_N2012_Environ,zip_N2012_Nutri,zip_N2012_Rights,zip_N2012_Staff,zip_N2012_Total,zip_N2013_Abuse,zip_N2013_Admin,zip_N2013_Care,zip_N2013_Environ,zip_N2013_Nutri,zip_N2013_Rights,zip_N2013_Staff,zip_N2013_Total
90004,34.07572239300049,-118.30301712299968,Los Angeles,Los Angeles,1,20.0,50.0,21092,17.0,50.0,33.0,0.0,0.0,33.0,48.0,52.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,7.0,36.0,1.0,0.0,1.0,2.0,7.0,5.0,3.0,15.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90006,34.05010424100044,-118.2926890439997,Los Angeles,Los Angeles,4,120.8,90.7,13771,20.0,28.0,21.0,30.5,0.5,21.0,48.8,51.3,2.3,1.8,1.5,0.8,0.5,0.8,2.0,1.8,1.0,0.8,3.5,24.0,20.5,24.8,69.3,0.5,1.0,1.3,2.8,6.5,7.5,10.0,24.0,38.7,2.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.8,0.3,0.0,0,1.5,0.8,0.3,0.5,0.3,0.0,0.0,0.0,1.8,1.0,1.0,0.0,0.5,0.8,0.0,0.0,3.3,0.0,0.3,0.8,0.0,0.0,0.0,0.0,1.0
90008,34.01097312100046,-118.34158773599972,Los Angeles,Los Angeles,1,99.0,92.0,19501,92.0,1.0,2.0,5.0,0.0,2.0,73.0,27.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,13.0,28.0,61.0,1.0,0.0,1.0,2.0,7.0,5.0,6.0,18.0,47.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,12.0
90011,34.00790120200048,-118.25903697699971,Los Angeles,Los Angeles,2,73.5,94.5,24409,41.5,2.0,31.0,22.0,1.5,33.0,56.0,44.0,4.5,3.0,2.0,0.5,0.0,0.0,0.5,1.0,1.5,0.0,2.5,15.5,20.0,14.0,49.5,1.0,1.5,1.5,4.0,5.5,7.5,4.0,17.0,33.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
90015,34.04012376300045,-118.26498963499972,Los Angeles,Los Angeles,1,31.0,44.0,5312,41.0,3.0,38.0,36.0,0.0,20.0,62.0,38.0,5.0,5.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,19.0,8.0,39.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,10.0,,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90016,34.02888323300044,-118.35308896599969,Los Angeles,Los Angeles,2,126.5,96.0,22662,37.0,3.5,41.5,18.0,0.0,41.5,27.5,72.5,2.0,1.0,1.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.5,21.5,20.0,23.5,65.0,2.0,1.0,1.0,4.0,4.0,5.0,9.5,18.5,26.0,2.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.5,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,0.0,0.0,0.0,4.0
90017,34.05230281300044,-118.26338632799968,Los Angeles,Los Angeles,2,38.5,69.0,4882,11.0,2.0,23.0,60.0,0.0,27.0,54.5,45.5,5.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,6.5,9.0,19.0,0.0,0.0,0.0,0.0,2.0,2.5,3.0,7.5,17.1,2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90018,34.03077331100047,-118.31686899999971,Los Angeles,Los Angeles,5,107.2,91.8,20830,51.0,4.0,23.4,19.2,0.0,25.8,61.0,39.0,2.4,2.0,1.8,0.2,0.0,0.0,0.2,1.6,1.4,0.4,3.4,22.2,20.8,19.8,62.8,1.6,1.0,0.6,3.2,6.8,6.4,9.8,23.0,35.8,2.3,0.0,0.2,1.2,0.0,0.0,0.6,0.0,2.0,0.2,0.0,1.4,0.0,0.0,0.2,0,1.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.6,0.2,0.6,0.0,0.0,0.0,0.0,1.4,0.8,0.4,1.2,0.0,0.0,0.8,0.0,3.2
90019,34.04884418900048,-118.33610868499972,Los Angeles,Los Angeles,5,107.4,92.4,28529,47.0,24.0,8.8,19.6,0.2,9.2,57.6,42.4,3.2,3.2,2.6,0.2,0.4,0.2,0.8,0.4,0.8,0.4,1.6,19.2,19.0,17.8,56.0,1.4,0.8,0.4,2.6,4.4,7.4,7.4,19.2,48.4,2.3,0.0,0.8,2.2,0.4,0.0,0.6,0.0,4.0,0.4,0.4,0.0,0.4,0.0,0.2,0,1.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.4,0.0,0.0,0.0,1.2,0.4,0.6,2.0,0.0,0.0,0.0,0.0,3.0
90023,34.02418193800048,-118.20195663999971,Los Angeles,Los Angeles,3,54.3,86.3,13532,12.0,1.3,69.7,45.3,0.0,41.3,54.3,45.7,3.7,3.7,3.3,0.7,0.3,0.0,1.0,0.3,0.3,0.3,1.0,15.7,10.3,13.3,39.3,2.0,0.0,0.0,2.0,4.7,2.7,3.0,10.3,60.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,1.0,0.0,2.3,0.7,0.0,0.0,0.0,0.0,0.7,0.0,1.3
